|      x (foto)       |      f(x) (foto)    |     y0=y1=24.0     x21=-x0=7.35                                       
|---------------------|---------------------|                
|       -5.0          |        11.464       |
|---------------------|---------------------|
|       -4.5          |        8.760        |
|---------------------|---------------------|
|       -4.0          |        6.519        |
|---------------------|---------------------|
|       -3.5          |        4.898        |
|---------------------|---------------------|
|       -3.0          |        3.809        |
|---------------------|---------------------|
|       -2.5          |        2.975        |
|---------------------|---------------------|
|       -2.0          |        2.309        |
|---------------------|---------------------|
|       -1.5          |        1.815        |
|---------------------|---------------------|
|       -1.0          |        1.469        |
|---------------------|---------------------|
|       -0.5          |        1.241        |
|---------------------|---------------------|
|       0.5           |        1.119        |
|---------------------|---------------------|
|       1.0           |        1.278        |
|---------------------|---------------------|
|       1.5           |        1.525        |
|---------------------|---------------------|
|       2.0           |        1.846        |
|---------------------|---------------------|
|       2.5           |        2.343        |
|---------------------|---------------------|
|       3.0           |        2.911        |
|---------------------|---------------------|
|       3.5           |        3.761        |
|---------------------|---------------------|
|       4.0           |        4.593        |
|---------------------|---------------------|
|       4.5           |        5.880        |
|---------------------|---------------------|
|       5.0           |        7.287        |
|---------------------|---------------------|
